time,pm2_5,temperature_2m,relative_humidity_2m,wind_u,wind_v,boundary_layer_height,precipitation,nitrogen_dioxide,hour_sin,hour_cos
2025-11-02T02:00,97.6,20.9,69,6.5,1.1940306291686693e-15,80.0,0.0,16.8,0.49999999999999994,0.8660254037844387
2025-11-02T03:00,93.6,20.1,72,6.105808068675691,-1.0766187015349657,80.0,0.0,14.5,0.7071067811865476,0.7071067811865476
2025-11-02T04:00,90.8,19.6,73,6.076787658359647,-0.531650030760713,85.0,0.0,14.0,0.8660254037844386,0.5000000000000001
2025-11-02T05:00,93.6,19.4,79,5.896405879412665,0.2059070305447545,85.0,0.0,16.0,0.9659258262890683,0.25881904510252074
2025-11-02T06:00,95.5,19.3,80,5.596588631306936,-0.19543718153400716,75.0,0.0,24.4,1.0,6.123233995736766e-17
2025-11-02T07:00,100.6,19.9,78,6.276026597977997,-0.5490811793102447,85.0,0.0,35.5,0.9659258262890683,-0.25881904510252063
2025-11-02T08:00,99.4,21.6,73,6.076787658359647,-0.531650030760713,140.0,0.0,40.5,0.8660254037844387,-0.4999999999999998
2025-11-02T09:00,93.8,23.8,65,5.771070844329453,-1.2266789758247807,225.0,0.0,33.4,0.7071067811865476,-0.7071067811865475
2025-11-02T10:00,88.0,25.8,58,5.72474478502838,-1.4273391840380378,410.0,0.0,20.2,0.49999999999999994,-0.8660254037844387
2025-11-02T11:00,77.1,27.6,50,8.415481852474713,-2.5728710015600833,1270.0,0.0,9.9,0.258819045102521,-0.9659258262890682
2025-11-02T12:00,69.4,28.8,39,10.652112466548596,-6.150000000000002,1445.0,0.0,5.6,1.2246467991473532e-16,-1.0
2025-11-02T13:00,65.9,29.3,36,10.485146166899096,-7.34177838529339,1520.0,0.0,4.3,-0.2588190451025208,-0.9659258262890683
2025-11-02T14:00,65.7,29.4,35,10.651116212906887,-6.916915744690838,1535.0,0.0,6.1,-0.4999999999999997,-0.8660254037844388
2025-11-02T15:00,66.8,29.1,35,10.45744106856577,-6.28346451390266,1460.0,0.0,12.8,-0.7071067811865471,-0.7071067811865479
2025-11-02T16:00,69.8,28.1,39,8.400239546880702,-5.047373134118531,1290.0,0.0,22.7,-0.8660254037844385,-0.5000000000000004
2025-11-02T17:00,91.7,26.2,48,7.1859411745548085,-2.474317973874388,345.0,0.0,31.3,-0.9659258262890683,-0.25881904510252063
2025-11-02T18:00,97.3,24.6,54,6.651403684989877,-1.413799497560764,175.0,0.0,34.0,-1.0,-1.8369701987210297e-16
2025-11-02T19:00,99.9,23.7,56,6.9904067432820165,-0.3663516937006076,135.0,0.0,37.7,-0.9659258262890684,0.2588190451025203
2025-11-02T20:00,101.3,23.1,56,7.160557646651569,-0.7526049355271015,130.0,0.0,39.8,-0.8660254037844386,0.5000000000000001
2025-11-02T21:00,101.7,22.5,56,7.2103384794107415,-1.6646378021446004,130.0,0.0,39.2,-0.7071067811865477,0.7071067811865474
2025-11-02T22:00,99.7,21.8,57,7.593967397912719,-2.1775351109542953,135.0,0.0,37.0,-0.5000000000000004,0.8660254037844384
2025-11-02T23:00,97.1,21.6,60,8.075423574700107,-1.4239150568688257,130.0,0.0,34.4,-0.25881904510252157,0.9659258262890681
2025-11-03T00:00,93.8,21.2,60,8.494822029662314,-0.2966457219712609,120.0,0.0,31.1,0.0,1.0
2025-11-03T01:00,90.8,20.6,61,9.03216997993603,1.1090110249868392,120.0,0.0,27.3,0.25881904510252074,0.9659258262890683
2025-11-03T02:00,87.8,19.7,64,9.131424595100162,1.1211979593273538,115.0,0.0,24.5,0.49999999999999994,0.8660254037844387
2025-11-03T03:00,85.2,19.0,66,8.794639277768043,0.3071155709820067,115.0,0.0,23.1,0.7071067811865476,0.7071067811865476
2025-11-03T04:00,82.4,18.5,68,8.467654933779837,0.7408238133550951,110.0,0.0,22.7,0.8660254037844386,0.5000000000000001
